K2SX,160M,CW,20140416,204928,599,599,CQ-WPX-CW
W9RE,160M,CW,20140416,204934,599,599,CQ-WPX-CW
W3LPL,160M,CW,20140416,204942,599,599,CQ-WPX-CW
K2UFT,80M,CW,20140420,140945,599,599,CQ-WPX-CW
K3LR,80M,CW,20140420,140951,599,599,CQ-WPX-CW
W9RE,80M,CW,20140420,140956,599,599,CQ-WPX-CW
K2TOP,80M,CW,20140420,151621,599,599,CQ-WPX-CW
RG8A,80M,CW,20140420,151627,599,599,CQ-WPX-CW
RO2N,80M,CW,20140420,184611,599,599,CQ-WPX-CW
K9RS,80M,CW,20140422,200727,599,599,CQ-WPX-CW
K2TT,80M,CW,20140422,201007,599,599,CQ-WPX-CW
W3BEE,80M,CW,20140422,201315,599,599,CQ-WPX-CW
K2AV,80M,CW,20140422,202219,599,599,CQ-WPX-CW
K3GHH,80M,CW,20140422,204907,599,599,CQ-WPX-CW
AA4FU,80M,CW,20140422,205124,599,599,CQ-WPX-CW
K2MM,80M,CW,20140422,205152,599,599,CQ-WPX-CW
KT6X,80M,CW,20140422,210742,599,599,CQ-WPX-CW
